State,County,Total Equip Quantity,Total Cost,Mil Equip Quantity,Total Mil Cost
CO,CLEAR CREEK,11,74365.0,10.0,73815.0
CO,CONEJOS,20,149784.97,14.0,134434.0
CO,COSTILLA,2,44842.0,2.0,44842.0
CO,CUSTER,4,2622.0,4.0,2622.0
CO,DELTA,15,72682.0,15.0,72682.0
CO,DENVER,4288,157944.22,58.0,106818.3
CO,DOUGLAS,182,33075.25,80.0,31852.0
CO,EAGLE,69,22415.23,32.0,8833.0
CO,EL PASO,2030,882010.97,220.0,571603.15
CO,ELBERT,283,697873.46,40.0,369139.0
CO,FREMONT,2247,3568535.8000000003,66.0,1477512.69
CO,GARFIELD,260,121424.34,9.0,47817.0
CO,GILPIN,51,4250.59,10.0,3660.0
CO,GRAND,13,1668.0,13.0,1668.0
CO,GUNNISON,14,9148.4,10.0,8047.0
CO,HINSDALE,9,906.84,5.0,672.0
CO,HUERFANO,33,223141.3,16.0,117693.0
CO,JACKSON,160,108714.55,11.0,102992.0
CO,JEFFERSON,2475,661992.35,373.0,569696.65
CO,KIOWA,452,221529.07,22.0,75455.69
CO,KIT CARSON,2201,226337.49,13.0,15304.0
CO,LA PLATA,5561,1714669.27,151.0,849274.0399999999
CO,LAKE,279,71513.94,4.0,552.0
CO,LARIMER,196,174245.18,62.0,164135.0
CO,LAS ANIMAS,370,638105.83,11.0,234831.0
CO,LOGAN,5,26274.0,5.0,26274.0
CO,MESA,198,510911.7,10.0,202381.0
CO,MINERAL,4,552.0,4.0,552.0
CO,MOFFAT,13,4312.0,13.0,4312.0
CO,MONTEZUMA,14,8130.0,14.0,8130.0
CO,MONTROSE,7,49783.0,7.0,49783.0
CO,MORGAN,65,16741.12,23.0,6580.0
CO,OTERO,282,62492.28,8.0,50810.0
CO,OURAY,3,316.71000000000004,2.0,258.0
CO,PARK,404,775897.38,12.0,306848.0
CO,PHILLIPS,66,3044.84,7.0,2392.0
CO,PROWERS,55,37892.6,15.0,27510.0
CO,PUEBLO,857,850790.4700000001,80.0,765940.0
CO,RIO BLANCO,7,948.0,7.0,948.0
CO,RIO GRANDE,118,405009.31,30.0,385602.0
CO,ROUTT,59,54957.92,19.0,53818.0
CO,SAGUACHE,6,6412.0,6.0,6412.0
CO,SAN MIGUEL,2,50000.0,2.0,50000.0
CO,SEDGWICK,7,5106.0,7.0,5106.0
CO,SUMMIT,16,5096.0,16.0,5096.0
CO,TELLER,2657,29820.99,23.0,6821.07
CO,WELD,5362,2126004.82,229.0,1746178.44
CO,YUMA,186,849590.17,18.0,711117.0
CT,FAIRFIELD,356,1967722.34,271.0,1830300.0
CT,HARTFORD,2103,1187498.48,239.0,1075753.0
CT,LITCHFIELD,291,1007033.48,33.0,872472.69
CT,MIDDLESEX,8,793390.0,8.0,793390.0
CT,NEW HAVEN,2166,2053833.52,171.0,1918577.0
CT,NEW LONDON,60,204606.0,60.0,204606.0
CT,TOLLAND,24,33228.0,24.0,33228.0
CT,WINDHAM,43,673228.51,32.0,672747.0
DC,DISTRICT OF COLUMBIA,4615,21740351.41,1411.0,7887400.859999999
DE,KENT,21075,4076131.83,94.0,345073.0
DE,NEW CASTLE,4099,1692415.52,169.0,707283.28
DE,SUSSEX,9178,6361038.59,107.0,1061699.68
FL,ALACHUA,172,1103368.23,154.0,1082478.0
FL,BAKER,52,3367.2799999999997,6.0,2994.0
FL,BAY,456,1501409.48,92.0,1110107.0
FL,BRADFORD,4516,410893.91000000003,27.0,382396.85
FL,BREVARD,1399,210369455.82999998,474.0,199667598.0
FL,BROWARD,4,257566.0,4.0,257566.0
FL,CALHOUN,2,184580.0,2.0,184580.0
FL,CHARLOTTE,246,1366416.0899999999,168.0,1335217.0
FL,CITRUS,40,15020.0,30.0,14970.0
FL,CLAY,54,168628.24,49.0,168348.0
FL,COLLIER,1117,966999.26,382.0,835507.0
FL,COLUMBIA,58,25423.0,58.0,25423.0
FL,DE SOTO,11,5489.0,11.0,5489.0
FL,DIXIE,9,2596.0,9.0,2596.0
FL,DUVAL,2354,602674.63,153.0,194125.22
FL,ESCAMBIA,93,104628.0,93.0,104628.0
FL,FLAGLER,8,89572.0,5.0,39998.0
FL,FRANKLIN,14,6986.0,14.0,6986.0
FL,GADSDEN,19,36110.29,9.0,35960.0
FL,GILCHRIST,2,0.0,0.0,0.0
FL,GLADES,6,2994.0,6.0,2994.0
FL,HAMILTON,7,3493.0,7.0,3493.0
