State,County,Ship Date,Total Equip Quantity,Total Cost
AL,BARBOUR,2011-10-01 00:00:00,5,2748.0
AL,BARBOUR,2012-02-15 00:00:00,1,4300.0
AL,BARBOUR,2012-05-17 00:00:00,2,69722.0
AL,BARBOUR,2012-06-01 00:00:00,1,25000.0
AL,BIBB,2006-11-06 00:00:00,4,1996.0
AL,BIBB,2006-11-07 00:00:00,4,1996.0
AL,BIBB,2007-05-25 00:00:00,6,21468.0
AL,BIBB,2007-09-05 00:00:00,2,276.0
AL,BIBB,2007-10-11 00:00:00,14,13311.72
AL,BLOUNT,2006-05-04 00:00:00,2,276.0
AL,BLOUNT,2006-11-06 00:00:00,2,998.0
AL,BLOUNT,2006-11-07 00:00:00,1,138.0
AL,BLOUNT,2012-02-11 00:00:00,1,1196.0
AL,BLOUNT,2012-02-16 00:00:00,194,57818.72
AL,BLOUNT,2012-02-26 00:00:00,2,1445.0
AL,BLOUNT,2012-02-27 00:00:00,4,29642.78
AL,BLOUNT,2012-03-01 00:00:00,93,100439.0
AL,BLOUNT,2012-03-02 00:00:00,36,235.74
AL,BLOUNT,2012-03-07 00:00:00,39,75603.34
AL,BLOUNT,2012-03-09 00:00:00,35,145.91
AL,BLOUNT,2012-03-10 00:00:00,4,818.1
AL,BLOUNT,2012-03-12 00:00:00,6,12019.2
AL,BLOUNT,2012-03-14 00:00:00,389,297.3
AL,BLOUNT,2012-03-15 00:00:00,16,271.85
AL,BLOUNT,2012-03-17 00:00:00,117,102791.73
AL,BLOUNT,2012-03-19 00:00:00,99,15586.43
AL,BLOUNT,2012-03-22 00:00:00,72,2625.9
AL,BLOUNT,2012-03-26 00:00:00,122,16762.77
AL,BLOUNT,2012-03-27 00:00:00,3,220685.0
AL,BLOUNT,2012-03-28 00:00:00,1,25000.0
AL,BLOUNT,2012-03-29 00:00:00,489,14454.789999999999
AL,BLOUNT,2012-03-30 00:00:00,54,833.79
AL,BLOUNT,2012-03-31 00:00:00,60,24.220000000000002
AL,BLOUNT,2012-04-10 00:00:00,7,328.0
AL,BLOUNT,2012-04-12 00:00:00,7,29085.0
AL,BLOUNT,2012-04-16 00:00:00,24,14141.47
AL,BLOUNT,2012-04-17 00:00:00,20,15.95
AL,BLOUNT,2012-04-18 00:00:00,80,50165.85
AL,BLOUNT,2012-04-19 00:00:00,41,238.53
AL,BLOUNT,2012-04-20 00:00:00,22,105.84
AL,BLOUNT,2012-04-21 00:00:00,25,23.67
AL,BLOUNT,2012-04-26 00:00:00,10,310952.0
AL,BLOUNT,2012-04-27 00:00:00,75,1.32
AL,BLOUNT,2012-05-01 00:00:00,28,328.0
AL,BLOUNT,2012-05-02 00:00:00,816,70924.81
AL,BLOUNT,2012-05-03 00:00:00,292,3475.5
AL,BLOUNT,2012-05-04 00:00:00,100,91.98
AL,BLOUNT,2012-05-07 00:00:00,6,8482.69
AL,BLOUNT,2012-05-08 00:00:00,1,16459.0
AL,BLOUNT,2012-05-09 00:00:00,3,71842.86
AL,BLOUNT,2012-05-11 00:00:00,2,116761.0
AL,BLOUNT,2012-05-14 00:00:00,1,47989.0
AL,BLOUNT,2012-05-15 00:00:00,41,109.78
AL,BLOUNT,2012-05-18 00:00:00,22,926.6
AL,BLOUNT,2012-05-21 00:00:00,68,55842.21
AL,BLOUNT,2012-05-22 00:00:00,5,125.0
AL,BLOUNT,2012-05-23 00:00:00,16,86.15
AL,BLOUNT,2012-05-25 00:00:00,7,6020.09
AL,BLOUNT,2012-05-30 00:00:00,28,231.27
AL,BLOUNT,2012-05-31 00:00:00,50,7.11
AL,BLOUNT,2012-06-01 00:00:00,52,199345.32
AL,BLOUNT,2012-06-03 00:00:00,1,278.05
AL,BLOUNT,2012-06-06 00:00:00,32,2557.0499999999997
AL,BLOUNT,2012-06-07 00:00:00,9,8017.71
AL,BLOUNT,2012-06-08 00:00:00,44,55962.48
AL,BLOUNT,2012-06-09 00:00:00,1,740.37
AL,BLOUNT,2012-06-10 00:00:00,10,42.28
AL,BLOUNT,2012-06-12 00:00:00,2,2500.0
AL,BLOUNT,2012-06-13 00:00:00,58,74.05
AL,BLOUNT,2012-06-15 00:00:00,6,35.74
AL,BLOUNT,2012-06-16 00:00:00,37,804.87
AL,BLOUNT,2012-06-19 00:00:00,2,740.37
AL,BLOUNT,2012-06-20 00:00:00,79,14427.24
AL,BLOUNT,2012-06-21 00:00:00,22,460.63
AL,BLOUNT,2012-06-22 00:00:00,21,34098.87
AL,BLOUNT,2012-06-23 00:00:00,1,7.03
AL,BLOUNT,2012-06-24 00:00:00,30,15.16
AL,BLOUNT,2012-06-25 00:00:00,3,8.67
AL,BLOUNT,2012-06-27 00:00:00,204,7847.34
AL,BLOUNT,2012-06-29 00:00:00,4,122.09
AL,BLOUNT,2012-07-02 00:00:00,14,918.3000000000001
AL,BLOUNT,2012-07-03 00:00:00,8,22.31
AL,BLOUNT,2012-07-04 00:00:00,22,111.83
AL,BLOUNT,2012-07-06 00:00:00,156,1826.83
AL,BLOUNT,2012-07-07 00:00:00,186,929.98
AL,BLOUNT,2012-07-08 00:00:00,1015,317.02
AL,BLOUNT,2012-07-09 00:00:00,17,13.7
AL,BLOUNT,2012-07-10 00:00:00,31,1349.95
AL,BLOUNT,2012-07-11 00:00:00,1,1200.0
AL,BLOUNT,2012-07-12 00:00:00,1037,149.16
AL,BLOUNT,2012-07-13 00:00:00,1,6000.0
AL,BLOUNT,2012-07-14 00:00:00,122,336.88
AL,BLOUNT,2012-07-15 00:00:00,152,812.01
AL,BLOUNT,2012-07-16 00:00:00,1,20000.0
AL,BLOUNT,2012-07-17 00:00:00,63,1593.1
AL,BLOUNT,2012-07-18 00:00:00,28,22.04
AL,BLOUNT,2012-07-19 00:00:00,25,2.45
AL,BLOUNT,2012-07-20 00:00:00,16,127.44
AL,BLOUNT,2012-07-21 00:00:00,82,825.53
AL,BLOUNT,2012-07-22 00:00:00,8,8609.79
AL,BLOUNT,2012-07-24 00:00:00,3,486.0
AL,BLOUNT,2012-07-25 00:00:00,2,766.5
AL,BLOUNT,2012-07-28 00:00:00,33,9476.72
AL,BLOUNT,2012-07-30 00:00:00,8,28942.690000000002
AL,BLOUNT,2012-08-01 00:00:00,319,7615.6900000000005
AL,BLOUNT,2012-08-02 00:00:00,1,1000.0
AL,BLOUNT,2012-08-03 00:00:00,1,500.0
AL,BLOUNT,2012-08-05 00:00:00,18,1320.0
AL,BLOUNT,2012-08-06 00:00:00,2,181.91
AL,BLOUNT,2012-08-08 00:00:00,77,1506.95
AL,BLOUNT,2012-08-09 00:00:00,6,1101.43
AL,BLOUNT,2012-08-10 00:00:00,1,3208.88
AL,BLOUNT,2012-08-11 00:00:00,22,8608.85
AL,BLOUNT,2012-08-12 00:00:00,2,484.43
